-1,0,1,2,3,4,5,6,7,8,9
end,1.0,0.7574,0.9613,0.6671,0.9159,0.7762,0.7614,0.757,0.832,0.8374
corona,0.9929,0.7631,1.0,0.6761,0.9271,0.8409,0.8016,0.7656,0.854,0.8676
|,1.0,0.7912,0.9841,0.6762,0.9244,0.8215,0.7918,0.776,0.8437,0.8503
all,1.0,0.7869,0.9376,0.6716,0.9484,0.8373,0.7929,0.7762,0.8436,0.7978
the,0.9818,0.8017,1.0,0.6697,0.8888,0.7912,0.7928,0.7869,0.8639,0.8107
money,1.0,0.7534,0.9792,0.67,0.8132,0.8193,0.7718,0.7728,0.787,0.8432
in,1.0,0.7794,0.9283,0.6767,0.9188,0.8111,0.7721,0.7677,0.8295,0.7926
the,0.9482,0.7942,1.0,0.665,0.9353,0.8043,0.8003,0.7822,0.8322,0.8628
world,0.9311,0.7807,1.0,0.654,0.9354,0.8247,0.7922,0.7558,0.851,0.8665
